term,department,course,section,class_number,mode_of_instruction,course_title,satisfies,units,class_type,days,times,instructor,location,dates,open_seats,notes
,AAS,1,01,26894,In Person,Introduction to Asian American Studies,GE: F,3,LEC,MW,09:00AM-10:15AM,Joanne Rondilla,DMH358,01/24/24-05/13/24,0,
,AAS,1,02,26898,In Person,Introduction to Asian American Studies,GE: F,3,LEC,MW,12:00PM-01:15PM,Joanne Rondilla,HGH122,01/24/24-05/13/24,0,
,AAS,1,03,26899,In Person,Introduction to Asian American Studies,GE: F,3,LEC,TR,12:00PM-01:15PM,Lawrence Lan,DMH358,01/24/24-05/13/24,0,
,AAS,1,04,26900,In Person,Introduction to Asian American Studies,GE: F,3,LEC,TR,01:30PM-02:45PM,Lawrence Lan,DMH358,01/24/24-05/13/24,0,
,AAS,1,05,26901,In Person,Introduction to Asian American Studies,GE: F,3,LEC,TR,04:30PM-05:45PM,Lawrence Lan,DMH358,01/24/24-05/13/24,1,
,AAS,1,06,26902,In Person,Introduction to Asian American Studies,GE: F,3,LEC,TR,09:00AM-10:15AM,Lawrence Lan,HGH122,01/24/24-05/13/24,0,
,AAS,1,07,26903,In Person,Introduction to Asian American Studies,GE: F,3,LEC,MW,01:30PM-02:45PM,Saugher Nojan,HGH122,01/24/24-05/13/24,0,
,AAS,1,08,26904,In Person,Introduction to Asian American Studies,GE: F,3,LEC,MW,03:00PM-04:15PM,Philip Nguyen,HGH122,01/24/24-05/13/24,0,
,AAS,1,09,26905,In Person,Introduction to Asian American Studies,GE: F,3,LEC,M,06:00PM-08:45PM,Kelly Zhao,DMH358,01/24/24-05/13/24,3,
,AAS,1,10,27031,In Person,Introduction to Asian American Studies,GE: F,3,LEC,TR,03:00PM-04:15PM,Wayne Jopanda,CL234,01/24/24-05/13/24,0,
,AAS,1,80,30266,Fully Online,Introduction to Asian American Studies,GE: F,3,LEC,TBA,TBA,Catherine Fung,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,1,81,30493,Fully Online,Introduction to Asian American Studies,GE: F,3,LEC,TBA,TBA,Catherine Fung,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,1,82,30500,Fully Online,Introduction to Asian American Studies,GE: F,3,LEC,TBA,TBA,Wayne Jopanda,ONLINE,01/24/24-05/13/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,20,01,29190,In Person,Women of Color in the U.S.,GE: D,3,LEC,MW,10:30AM-11:45AM,Susana Gallardo,DMH358,01/24/24-05/13/24,7,
,AAS,20,80,29191,Fully Online,Women of Color in the U.S.,GE: D,3,LEC,TBA,TBA,Susana Gallardo,ONLINE,01/24/24-05/13/24,17,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,25,01,28928,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3,LEC,TR,09:00AM-10:15AM,Felipe Ponce,DMH166,01/24/24-05/13/24,20,
,AAS,25,02,28929,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3,LEC,TR,10:30AM-11:45AM,Felipe Ponce,DMH166,01/24/24-05/13/24,19,
,AAS,25,03,28930,In Person,The Changing Majority: Power and Ethnicity in America,GE: F,3,LEC,MW,03:00PM-04:15PM,Bobby Seals,DMH160,01/24/24-05/13/24,22,
,AAS,25,80,29439,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: F,3,LEC,TBA,TBA,Jacqueline Gamboa,ONLINE,01/24/24-05/13/24,24,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,25,81,30505,Fully Online,The Changing Majority: Power and Ethnicity in America,GE: F,3,LEC,TBA,TBA,Rosanna Alvarez,ONLINE,01/24/24-05/13/24,40,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,33A,01,26907,In Person,Asian Americans in U.S. History I,GE: D,3,LEC,TR,09:00AM-10:15AM,Soo Choi,DMH358,01/24/24-05/13/24,0,PV - Prerequisite courses required. See course description.
,AAS,33A,02,26908,In Person,Asian Americans in U.S. History I,GE: D,3,LEC,MW,01:30PM-02:45PM,Paul Fong,DMH358,01/24/24-05/13/24,0,
,AAS,33B,01,26911,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,TR,10:30AM-11:45AM,Soo Choi,DMH358,01/24/24-05/13/24,0,
,AAS,33B,02,26912,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,MW,03:00PM-04:15PM,Soo Choi,DMH358,01/24/24-05/13/24,0,
,AAS,33B,03,26913,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,MW,04:30PM-05:45PM,Soo Choi,DMH358,01/24/24-05/13/24,0,
,AAS,33B,04,26914,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,MW,12:00PM-01:15PM,Paul Fong,DMH358,01/24/24-05/13/24,0,
,AAS,33B,05,27029,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,TR,01:30PM-02:45PM,Wayne Jopanda,CL234,01/24/24-05/13/24,0,
,AAS,33B,06,27030,In Person,Asian Americans in U.S. History II,GE: D+US,3,LEC,TR,12:00PM-01:15PM,Wayne Jopanda,HGH122,01/24/24-05/13/24,0,
,AAS,175,01,26892,In Person,Asian American Communities,GE: S,3,LEC,MW,09:00AM-10:15AM,Hien Do,DMH226A,01/24/24-05/13/24,0,
,AAS,180,33,27665,Fully Online,Individual Studies,,1,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,180,80,27666,Fully Online,Individual Studies,,2,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,180,81,27667,Fully Online,Individual Studies,,3,SUP,TBA,TBA,Staff,ONLINE,01/24/24-05/13/24,36,RO - Not available to Open University students.  FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus
,AAS,190,80,27669,In Person,Internship,,3,SUP,TBA,TBA,Staff,,01/24/24-05/13/24,36,RO - Not available to Open University students.
,ADV,91,01,20002,In Person,Introduction to Advertising,,3,LEC,MW,01:30PM-02:45PM,David Ocampo,YUH124,01/24/24-05/13/24,50,
,ADV,93,01,26848,In Person,Design Fundamentals for Advertising 1,,3,LEC,MW,10:30AM-11:45AM,John Delacruz,DBH117D,01/24/24-05/13/24,0,
,ADV,94,80,29842,Fully Online,Design Fundamentals for Advertising 2,,3,LEC,T,06:00PM-08:45PM,Douglas Williams,ONLINE,01/24/24-05/13/24,2,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,ADV,95,01,24584,In Person,Working With Type,,3,LEC,TR,01:30PM-02:45PM,Tina Korani,DBH117D,01/24/24-05/13/24,0,IC - See course description for requirements.
,ADV,121,01,26578,In Person,Strategic Planning/Communications,,3,LEC,TR,10:30AM-11:45AM,Michael Llewellyn-Williams,DBH225,01/24/24-05/13/24,4,PV - Prerequisite courses required. See course description.
,ADV,122,02,29830,In Person,Business-to-Business Advertising,,3,SEM,MW,09:00AM-10:15AM,Belen Moreno,DBH225,01/24/24-05/13/24,9,
,ADV,123,02,29838,In Person,Introduction to Branded Content,,3,SEM,MW,03:00PM-04:15PM,Belen Moreno,DBH224,01/24/24-05/13/24,10,
,ADV,124,01,20550,In Person,Copywriting,,3,SEM,MW,12:00PM-01:15PM,David Ocampo,DBH117D,01/24/24-05/13/24,8,"IC - See course description for requirements.  ID - See department for advisement, prerequisites, and/or course requirements."
,ADV,126,01,26974,In Person,Media Planning and Buying,,3,SEM,M,06:00PM-08:45PM,Anne Raygoza,DBH133,01/24/24-05/13/24,13,
,ADV,128,01,20182,In Person,Integrated Marketing Communications (IMC),,3,SEM,TR,04:30PM-05:45PM,David Ocampo,DBH133,01/24/24-05/13/24,5,"ID - See department for advisement, prerequisites, and/or course requirements.  PV - Prerequisite courses required. See course description."
,ADV,129,01,20529,In Person,Advertising Campaign Planning and Management,,3,SEM,TR,12:00PM-01:15PM,Michael Llewellyn-Williams,DBH117D,01/24/24-05/13/24,13,PV - Prerequisite courses required. See course description.  RA - Requires consent of instructor.  RC - Requires department release of permission number.
,ADV,131,01,23494,In Person,Advertising Portfolio 2,,3,LEC,MW,01:30PM-02:45PM,John Delacruz,DBH117D,01/24/24-05/13/24,10,
,ADV,132,02,29839,In Person,UX UI Design for Advertising,,3,LEC,MW,04:30PM-05:45PM,Belen Moreno,DBH117D,01/24/24-05/13/24,14,
,AE,20,01,22569,In Person,Computer-Aided Design for Aerospace Engineers,,2,LEC,T,04:30PM-05:20PM,Robert Benzio,ENG341,01/24/24-05/13/24,0,
,AE,20,02,22570,In Person,Computer-Aided Design for Aerospace Engineers,,0,LAB,T,06:00PM-08:50PM,Robert Benzio,ENG407,01/24/24-05/13/24,0,
,AE,20,03,22571,In Person,Computer-Aided Design for Aerospace Engineers,,0,LAB,R,06:00PM-08:50PM,Robert Benzio,ENG407,01/24/24-05/13/24,0,
,AE,30,01,27709,In Person,Computer Programming for Aerospace Engineers,,2,LEC,M,10:30AM-11:20AM,Radha Aravamudhan,CL222,01/24/24-05/13/24,1,
,AE,30,02,27710,In Person,Computer Programming for Aerospace Engineers,,0,LAB,M,01:30PM-04:20PM,Radha Aravamudhan,ENG407,01/24/24-05/13/24,0,
,AE,30,03,27711,In Person,Computer Programming for Aerospace Engineers,,0,LAB,W,01:30PM-04:20PM,Radha Aravamudhan,ENG407,01/24/24-05/13/24,0,
,AE,30,04,30178,In Person,Computer Programming for Aerospace Engineers,,0,LAB,R,01:30PM-04:20PM,Radha Aravamudhan,ENG407,01/24/24-05/13/24,1,
,AE,114,01,22572,In Person,Aerospace Structures and Materials II,,3,SEM,MW,09:00AM-10:15AM,Maria Chierichetti,ENG331,01/24/24-05/13/24,0,
,AE,114,02,26649,In Person,Aerospace Structures and Materials II,,3,SEM,MW,10:30AM-11:45AM,Maria Chierichetti,ENG331,01/24/24-05/13/24,0,
,AE,140,01,29492,Hybrid,Rigid Body Dynamics,,3,SEM,MW  TBA,MW  01:30PM-02:45PM   TBA  TBA,Jeanine Hunter,SCI253,01/24/24-05/13/24,1,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
,AE,140,02,29493,Hybrid,Rigid Body Dynamics,,3,SEM,MW  TBA,MW  03:00PM-04:15PM   TBA  TBA,Jeanine Hunter / Jeanine Hunter,SCI253,01/24/24-05/13/24,0,HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
,AE,149,80,27025,Fully Online,Advanced Dynamics and Simulation,,3,SEM,TR,03:00PM-04:15PM,Jeanine Hunter,ONLINE,01/24/24-05/13/24,13,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/ecampus
,AE,157,01,27717,In Person,Aerospace Automatic Control Systems Design,,3,LEC,TR,12:00PM-12:50PM,Long Lu,CL222,01/24/24-05/13/24,11,
,AE,157,04,29820,In Person,Aerospace Automatic Control Systems Design,,0,LAB,T,02:30PM-05:20PM,Long Lu,ENG189,01/24/24-05/13/24,0,
,AE,157,05,29821,In Person,Aerospace Automatic Control Systems Design,,0,LAB,R,02:30PM-05:20PM,Long Lu,ENG189,01/24/24-05/13/24,11,
,AE,162,01,23451,In Person,Aerodynamics II,,3,LEC,MW,04:30PM-05:20PM,Brian Andrade,ENG331,01/24/24-05/13/24,0,
,AE,162,02,23452,In Person,Aerodynamics II,,0,LAB,M,06:00PM-08:50PM,Brian Andrade,ENG329,01/24/24-05/13/24,0,
,AE,162,03,23453,In Person,Aerodynamics II,,0,LAB,W,06:00PM-08:50PM,Brian Andrade,ENG339,01/24/24-05/13/24,0,
,AE,165,03,28824,In Person,Aerospace Flight Mechanics,,3,SEM,TR,09:00AM-10:15AM,Long Lu,CL310,01/24/24-05/13/24,0,
,AE,165,04,29819,In Person,Aerospace Flight Mechanics,,3,SEM,TR,10:30AM-11:45AM,Long Lu,ENG189,01/24/24-05/13/24,0,
,AE,167,01,22573,In Person,Aerospace Propulsion,,3,SEM,MW,01:30PM-02:45PM,Yawo Ezunkpe,ENG331,01/24/24-05/13/24,2,
,AE,167,02,27024,In Person,Aerospace Propulsion,,3,SEM,MW,03:00PM-04:15PM,Yawo Ezunkpe,ENG331,01/24/24-05/13/24,24,
,AE,169,01,22574,In Person,Computational Fluid Dynamics,,3,LEC,F,03:00PM-05:45PM,Brian Andrade,ENG331,01/24/24-05/13/24,20,
,AE,171B,01,22575,Hybrid,Aircraft Design II,GE: V,3,LEC,F,08:30AM-11:15AM,Gonzalo Mendoza,,01/24/24-05/13/24,5,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus."
,AE,172B,01,22576,Hybrid,Spacecraft Design II,GE: V,3,LEC,TR,09:00AM-10:15AM,Periklis Papadopoulos,,01/24/24-05/13/24,1,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus."
,AE,180,01,22577,In Person,Individual Studies,,1,SUP,T,06:00PM-06:50PM,Nikos Mourtos,ENG164,01/24/24-05/13/24,10,RO - Not available to Open University students.
,AE,180,02,22578,In Person,Individual Studies,,2,SUP,TR,06:00PM-06:50PM,Nikos Mourtos,ENG164,01/24/24-05/13/24,10,RO - Not available to Open University students.
,AE,180,03,22579,In Person,Individual Studies,,3,SUP,TRF,06:00PM-06:50PM,Nikos Mourtos,ENG164,01/24/24-05/13/24,5,RO - Not available to Open University students.
,AE,199,01,27027,In Person,Special Topics in Aerospace Engineering,,3,LEC,TR,01:30PM-02:45PM,Edoardo Rubino,ENG327,01/24/24-05/13/24,17,
,AE,246,01,29770,In Person,Advanced Aircraft Stability and Control,,3,LEC,TR,06:00PM-07:15PM,Long Lu,ENG401,01/24/24-05/13/24,11,
,AE,251,01,27028,In Person,Structural Vibrations for Aerospace Applications,,3,SEM,TR,04:30PM-05:45PM,Edoardo Rubino,ENG340,01/24/24-05/13/24,0,
,AE,266,01,24828,In Person,Hypersonics,,3,LEC,MW,04:30PM-05:45PM,Yawo Ezunkpe,ENG327,01/24/24-05/13/24,9,
,AE,267,01,22580,Hybrid,Space Propulsion Systems,,3,SEM,TR,07:30PM-08:45PM,Periklis Papadopoulos,,01/24/24-05/13/24,0,"HYBRID - Designated day/time online meetings, with occasional In Person meetings. May utilize Canvas. More info at sjsu.edu/ecampus."
,AE,295A,01,22581,Hybrid,Aerospace Engineering Masters Project I,,3,SUP,F  TBA,F  04:30PM-07:15PM   TBA  TBA,Periklis Papadopoulos / Nikos Mourtos,ENG164,01/24/24-05/13/24,14,RO - Not available to Open University students.  HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
,AE,295A,02,30410,Hybrid,Aerospace Engineering Masters Project I,,3,SUP,F  TBA,F  04:30PM-07:15PM   TBA  TBA,Radha Aravamudhan / Radha Aravamudhan,ENG164,01/24/24-05/13/24,15,RO - Not available to Open University students.  HYBRID - 2 Meeting Patterns: (1) designated In Person with day/time meetings; and (2) NO designated online day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/ecampus.
