department,course,name,units,description,prereqs,satisfies,grading,repeatable,crosslist,sustainability,notes
AAS,1,Introduction to Asian American Studies,3 unit(s),"Introductory examination of Asian Pacific Islander Desi/Americans (APID/A) through U.S.-national and transnational frameworks, concerned with contests over the production of racial knowledge, power, and citizenship and belonging. Develops an account of racialization beyond the black-white binary in the context of US war and empire in Asia and the Pacific Islands, settler colonialism, globalization, migration, and popular culture.",,Satisfies F: Ethnic Studies.,Grading: Letter Graded,,,,
AAS,20,Women of Color in the U.S.,3 unit(s),"Constructs knowledge of the historical and contemporary experience of women of color. Focuses on Native American, African American, Latina, and Asian American women and considers contributions they have made to the shaping of the nation.",,Satisfies D: Social Sciences (formerly GE Area D2).,Grading: Letter Graded,,Cross-listed with WGSS 20. Sociology and Interdisciplinary Social Sciences is responsible for scheduling.,Sustainability Focused - SDG 5: Gender Equality ,
AAS,25,The Changing Majority: Power and Ethnicity in America,3 unit(s),"Comparative and historical analysis of racial minorities. Focus on Euro American response to American Indians, Asian Americans, African Americans and Mexican Americans to provide understanding of minority experience in the U.S. as well as American culture.",,Satisfies F: Ethnic Studies.,Grading: Letter Graded,,Cross-listed with AFAM 25 / CCS 25. Chicana Chicano Studies is responsible for scheduling.,"Sustainability Focused - SDG 16: Peace, Justice and Strong Institutions ",
AAS,33A,Asian Americans in U.S. History I,3 unit(s),"Historical and political processes shaping U.S. culture, institutions and society from before European expansion to the Civil War. Focus on the roles of workers, immigrants, and people of color from a comparative perspective.",,Satisfies D: Social Sciences (formerly GE Area D2).,Grading: Letter Graded,,,,Note(s): Must complete the entire sequence (AAS 33A and AAS 33B) to satisfy American Institutions (US123).
AAS,33B,Asian Americans in U.S. History II,3 unit(s),"Historical and political factors that shaped U.S. culture, institutions and society from the mid-nineteenth century to the current era. Focus on experiences of Asian Americans as well as other immigrants and people of color.",Prerequisite(s): AAS 33A.,Satisfies D (formerly GE Area D3) + US123: Social Sciences and American Institutions.,Grading: Letter Graded,,,,Note(s): Must complete the entire sequence (AAS 33A and 33B) to satisfy American Institutions (US123).
AAS,125,Filipino Experience in the United States,3 unit(s),Filipinos in the United States beginning with immigration and culminating with analysis of past and contemporary issues facing Filipino Americans.,,,Grading: Letter Graded,,,,
AAS,133,Introduction to Social Issues in Planning,4 unit(s),"Contemporary social issues related to urban and regional planning. Assessment of community social needs and resident planning. Focus on ethnic areas such as African, Asian and Mexican American neighborhoods.",Prerequisite(s): Upper division standing or instructor consent.,,Grading: Letter Graded,,Cross-listed with AFAM 133 / URBP 133. Urban and Regional Planning is responsible for scheduling.,Sustainability Focused - SDG 11: Sustainable Cities and Communities ,
AAS,145,"Race, Policy, and Urban Cities",4 unit(s),Effects of public policy decisions on inner city populations. Implications of urban planning processes for differential consumption costs of public goods and services.,Prerequisite(s): Upper division standing.,,Grading: Letter Graded,,Cross-listed with AFAM 145 / URBP 145. African American Studies is responsible for scheduling.,Sustainability Focused - SDG 11: Sustainable Cities and Communities ,
AAS,159,Asian American Media Representation and Popular Culture,3 unit(s),"Considers how popular culture provides us with the scripts to practice femininities, masculinities, and sexualities, and how these practices are infused with race and class. Examines how we exchange knowledge about race and gender through popular culture. Includes a historical survey of Asian American popular representation, beginning with ideas of orientalism and colonialism and concluding with the current digital age. Reviews how changing political, social, and cultural discourses have affected Asian American participation in media production, and how these forces have shaped media representations of Asians. Discusses the influence of form, content, funding, and circumstances of production on how these films, videos, and digital media works came to be.",,Satisfies F: Ethnic Studies.,Grading: Letter Graded,,,,"Note(s): While this course is open to all undergraduate students including freshmen, this is an upper division course best suited for sophomore, junior or senior level students. "
AAS,170,Special Topics in Asian American Studies,3 unit(s),Focus varies each semester and is announced in the schedule of classes. Repeatable for credit with program coordinator approval.,,,Grading: Letter Graded,,,,
